cylinders,displacement,horsepower,weight,acceleration,year,origin,brand,inertia
6,250.0,100.0,3329.0,15.5,71,1,6,51599.5
6,250.0,88.0,3302.0,15.5,71,1,11,51181.0
6,232.0,100.0,3288.0,15.5,71,1,0,50964.0
8,350.0,165.0,4209.0,12.0,71,1,6,50508.0
8,400.0,175.0,4464.0,11.5,71,1,22,51336.0
8,351.0,153.0,4154.0,13.5,71,1,11,56079.0
8,318.0,150.0,4096.0,13.0,71,1,21,53248.0
8,383.0,180.0,4955.0,11.5,71,1,9,56982.5
8,400.0,170.0,4746.0,12.0,71,1,11,56952.0
8,400.0,175.0,5140.0,12.0,71,1,22,61680.0
6,258.0,110.0,2962.0,13.5,71,1,0,39987.0
4,140.0,72.0,2408.0,19.0,71,1,6,45752.0
6,250.0,100.0,3282.0,15.0,71,1,22,49230.0
6,250.0,88.0,3139.0,14.5,71,1,11,45515.5
4,122.0,86.0,2220.0,14.0,71,1,16,31080.0
4,116.0,90.0,2123.0,14.0,71,2,19,29722.0
4,79.0,70.0,2074.0,19.5,71,2,20,40443.0
4,88.0,76.0,2065.0,14.5,71,2,10,29942.5
4,71.0,65.0,1773.0,19.0,71,3,26,33687.0
4,72.0,69.0,1613.0,18.0,71,3,8,29034.0
4,97.0,60.0,1834.0,19.0,71,2,28,34846.0
4,91.0,70.0,1955.0,20.5,71,1,21,40077.5
4,113.0,95.0,2278.0,15.5,72,3,26,35309.0
4,97.5,80.0,2126.0,17.0,72,1,9,36142.0
4,97.0,54.0,2254.0,23.5,72,2,28,52969.0
4,140.0,90.0,2408.0,19.5,72,1,6,46956.0
4,122.0,86.0,2226.0,16.5,72,1,11,36729.0
8,350.0,165.0,4274.0,12.0,72,1,6,51288.0
8,400.0,175.0,4385.0,12.0,72,1,22,52620.0
8,318.0,150.0,4135.0,13.5,72,1,21,55822.5
8,351.0,153.0,4129.0,13.0,72,1,11,53677.0
8,304.0,150.0,3672.0,11.5,72,1,0,42228.0
8,429.0,208.0,4633.0,11.0,72,1,16,50963.0
8,350.0,155.0,4502.0,13.5,72,1,3,60777.0
8,350.0,160.0,4456.0,13.5,72,1,18,60156.0
8,400.0,190.0,4422.0,12.5,72,1,7,55275.0
3,70.0,97.0,2330.0,13.5,72,3,14,31455.0
8,304.0,150.0,3892.0,12.5,72,1,0,48650.0
8,307.0,130.0,4098.0,14.0,72,1,6,57372.0
8,302.0,140.0,4294.0,16.0,72,1,11,68704.0
8,318.0,150.0,4077.0,14.0,72,1,21,57078.0
4,121.0,112.0,2933.0,14.5,72,2,29,42528.5
4,121.0,76.0,2511.0,18.0,72,2,28,45198.0
4,120.0,87.0,2979.0,19.5,72,2,20,58090.5
4,96.0,69.0,2189.0,18.0,72,2,23,39402.0
4,122.0,86.0,2395.0,16.0,72,1,11,38320.0
4,97.0,92.0,2288.0,17.0,72,3,8,38896.0
4,120.0,97.0,2506.0,14.5,72,3,26,36337.0
4,98.0,80.0,2164.0,15.0,72,1,9,32460.0
4,97.0,88.0,2100.0,16.5,72,3,26,34650.0
8,350.0,175.0,4100.0,13.0,73,1,3,53300.0
8,304.0,150.0,3672.0,11.5,73,1,0,42228.0
8,350.0,145.0,3988.0,13.0,73,1,6,51844.0
8,302.0,137.0,4042.0,14.5,73,1,11,58609.0
8,318.0,150.0,3777.0,12.5,73,1,9,47212.5
8,429.0,198.0,4952.0,11.5,73,1,16,56948.0
8,400.0,150.0,4464.0,12.0,73,1,6,53568.0
8,351.0,158.0,4363.0,13.0,73,1,11,56719.0
8,318.0,150.0,4237.0,14.5,73,1,21,61436.5
8,440.0,215.0,4735.0,11.0,73,1,7,52085.0
8,455.0,225.0,4951.0,11.0,73,1,3,54461.0
8,360.0,175.0,3821.0,11.0,73,1,0,42031.0
6,225.0,105.0,3121.0,16.5,73,1,21,51496.5
6,250.0,100.0,3278.0,18.0,73,1,6,59004.0
6,232.0,100.0,2945.0,16.0,73,1,0,47120.0
6,250.0,88.0,3021.0,16.5,73,1,11,49846.5
6,198.0,95.0,2904.0,16.0,73,1,21,46464.0
4,97.0,46.0,1950.0,21.0,73,2,28,40950.0
8,400.0,150.0,4997.0,14.0,73,1,6,69958.0
8,400.0,167.0,4906.0,12.5,73,1,11,61325.0
8,360.0,170.0,4654.0,13.0,73,1,21,60502.0
8,350.0,180.0,4499.0,12.5,73,1,18,56237.5
6,232.0,100.0,2789.0,15.0,73,1,0,41835.0
4,97.0,88.0,2279.0,19.0,73,3,26,43301.0
4,140.0,72.0,2401.0,19.5,73,1,6,46819.5
4,108.0,94.0,2379.0,16.5,73,3,8,39253.5
3,70.0,90.0,2124.0,13.5,73,3,14,28674.0
4,122.0,85.0,2310.0,18.5,73,1,11,42735.0
6,155.0,107.0,2472.0,14.0,73,1,16,34608.0
4,98.0,90.0,2265.0,15.5,73,2,10,35107.5
8,350.0,145.0,4082.0,13.0,73,1,6,53066.0
8,400.0,230.0,4278.0,9.5,73,1,22,40641.0
4,68.0,49.0,1867.0,19.5,73,2,10,36406.5
4,116.0,75.0,2158.0,15.5,73,2,19,33449.0
4,114.0,91.0,2582.0,14.0,73,2,1,36148.0
4,121.0,112.0,2868.0,15.5,73,2,29,44454.0
8,318.0,150.0,3399.0,11.0,73,1,9,37389.0
4,121.0,110.0,2660.0,14.0,73,2,24,37240.0
6,156.0,122.0,2807.0,13.5,73,3,26,37894.5
8,350.0,180.0,3664.0,11.0,73,1,18,40304.0
6,198.0,95.0,3102.0,16.5,74,1,21,51183.0
6,200.0,104.46938775510205,2875.0,17.0,74,1,11,48875.0
6,232.0,100.0,2901.0,16.0,74,1,0,46416.0
6,250.0,100.0,3336.0,17.0,74,1,6,56712.0
4,79.0,67.0,1950.0,19.0,74,3,8,37050.0
4,122.0,80.0,2451.0,16.5,74,1,11,40441.5
4,71.0,65.0,1836.0,21.0,74,3,26,38556.0
4,140.0,75.0,2542.0,17.0,74,1,6,43214.0
6,250.0,100.0,3781.0,17.0,74,1,6,64277.0
6,258.0,110.0,3632.0,18.0,74,1,0,65376.0
6,225.0,105.0,3613.0,16.5,74,1,21,59614.5
8,302.0,140.0,4141.0,14.0,74,1,11,57974.0
8,350.0,150.0,4699.0,14.5,74,1,3,68135.5
8,318.0,150.0,4457.0,13.5,74,1,9,60169.5
8,302.0,140.0,4638.0,16.0,74,1,11,74208.0
8,304.0,150.0,4257.0,15.5,74,1,0,65983.5
4,98.0,83.0,2219.0,16.5,74,2,1,36613.5
4,79.0,67.0,1963.0,15.5,74,2,28,30426.5
4,97.0,78.0,2300.0,14.5,74,2,19,33350.0
4,76.0,52.0,1649.0,16.5,74,3,26,27208.5
4,83.0,61.0,2003.0,19.0,74,3,8,38057.0
4,90.0,75.0,2125.0,14.5,74,1,9,30812.5
4,90.0,75.0,2108.0,15.5,74,2,10,32674.0
4,116.0,75.0,2246.0,14.0,74,2,10,31444.0
4,120.0,97.0,2489.0,15.0,74,3,13,37335.0
4,108.0,93.0,2391.0,15.5,74,3,25,37060.5
4,79.0,67.0,2000.0,16.0,74,2,10,32000.0
6,225.0,95.0,3264.0,16.0,75,1,21,52224.0
6,250.0,105.0,3459.0,16.0,75,1,6,55344.0
6,250.0,72.0,3432.0,21.0,75,1,16,72072.0
6,250.0,72.0,3158.0,19.5,75,1,11,61581.0
8,400.0,170.0,4668.0,11.5,75,1,22,53682.0
8,350.0,145.0,4440.0,14.0,75,1,6,62160.0
8,318.0,150.0,4498.0,14.5,75,1,21,65221.0
8,351.0,148.0,4657.0,13.5,75,1,11,62869.5
6,231.0,110.0,3907.0,21.0,75,1,3,82047.0
6,250.0,105.0,3897.0,18.5,75,1,6,72094.5
6,258.0,110.0,3730.0,19.0,75,1,0,70870.0
6,225.0,95.0,3785.0,19.0,75,1,21,71915.0
6,231.0,110.0,3039.0,15.0,75,1,3,45585.0
8,262.0,110.0,3221.0,13.5,75,1,6,43483.5
8,302.0,129.0,3169.0,12.0,75,1,11,38028.0
4,97.0,75.0,2171.0,16.0,75,3,26,34736.0
4,140.0,83.0,2639.0,17.0,75,1,11,44863.0
6,232.0,100.0,2914.0,16.0,75,1,0,46624.0
4,140.0,78.0,2592.0,18.5,75,1,22,47952.0
4,134.0,96.0,2702.0,13.5,75,3,26,36477.0
4,90.0,71.0,2223.0,16.5,75,2,28,36679.5
4,119.0,97.0,2545.0,17.0,75,3,8,43265.0
6,171.0,97.0,2984.0,14.5,75,1,11,43268.0
4,90.0,70.0,1937.0,14.0,75,2,28,27118.0
6,232.0,90.0,3211.0,17.0,75,1,0,54587.0
4,115.0,95.0,2694.0,15.0,75,2,1,40410.0
4,120.0,88.0,2957.0,17.0,75,2,20,50269.0
4,121.0,98.0,2945.0,14.5,75,2,29,42702.5
4,121.0,115.0,2671.0,13.5,75,2,24,36058.5
4,91.0,53.0,1795.0,17.5,75,3,13,31412.5
4,107.0,86.0,2464.0,15.5,76,2,10,38192.0
4,116.0,81.0,2220.0,16.9,76,2,19,37518.0
4,140.0,92.0,2572.0,14.9,76,1,5,38322.8
4,98.0,79.0,2255.0,17.7,76,1,9,39913.5
4,101.0,83.0,2202.0,15.3,76,2,23,33690.6
8,305.0,140.0,4215.0,13.0,76,1,6,54795.0
8,318.0,150.0,4190.0,13.0,76,1,9,54470.0
8,304.0,120.0,3962.0,13.9,76,1,0,55071.8
8,351.0,152.0,4215.0,12.8,76,1,11,53952.0
6,225.0,100.0,3233.0,15.4,76,1,21,49788.200000000004
6,250.0,105.0,3353.0,14.5,76,1,6,48618.5
6,200.0,81.0,3012.0,17.6,76,1,11,53011.200000000004
6,232.0,90.0,3085.0,17.6,76,1,0,54296.00000000001
4,85.0,52.0,2035.0,22.2,76,1,6,45177.0
4,98.0,60.0,2164.0,22.1,76,1,6,47824.4
4,90.0,70.0,1937.0,14.2,76,2,28,27505.399999999998
4,91.0,53.0,1795.0,17.4,76,3,13,31232.999999999996
6,225.0,100.0,3651.0,17.7,76,1,9,64622.7
6,250.0,78.0,3574.0,21.0,76,1,11,75054.0
6,250.0,110.0,3645.0,16.2,76,1,22,59049.0
6,258.0,95.0,3193.0,17.8,76,1,0,56835.4
4,97.0,71.0,1825.0,12.2,76,2,28,22265.0
4,85.0,70.0,1990.0,17.0,76,3,8,33830.0
4,97.0,75.0,2155.0,16.4,76,3,26,35342.0
4,140.0,72.0,2565.0,13.6,76,1,11,34884.0
4,130.0,102.0,3150.0,15.7,76,2,29,49455.0
8,318.0,150.0,3940.0,13.2,76,1,21,52008.0
4,120.0,88.0,3270.0,21.9,76,2,20,71613.0
6,156.0,108.0,2930.0,15.5,76,3,26,45415.0
6,168.0,120.0,3820.0,16.7,76,2,15,63794.0
8,350.0,180.0,4380.0,12.1,76,1,4,52998.0
8,350.0,145.0,4055.0,12.0,76,1,6,48660.0
8,302.0,130.0,3870.0,15.0,76,1,11,58050.0
8,318.0,150.0,3755.0,14.0,76,1,9,52570.0
4,98.0,68.0,2045.0,18.5,77,3,13,37832.5
4,111.0,80.0,2155.0,14.8,77,1,3,31894.0
4,79.0,58.0,1825.0,18.6,77,2,23,33945.0
4,122.0,96.0,2300.0,15.5,77,1,21,35650.0
4,85.0,70.0,1945.0,16.8,77,3,8,32676.0
8,305.0,145.0,3880.0,12.5,77,1,6,48500.0
8,260.0,110.0,4060.0,19.0,77,1,18,77140.0
8,318.0,145.0,4140.0,13.7,77,1,9,56718.0
8,302.0,130.0,4295.0,14.9,77,1,16,63995.5
6,250.0,110.0,3520.0,16.4,77,1,6,57727.99999999999
6,231.0,105.0,3425.0,16.9,77,1,3,57882.49999999999
6,225.0,100.0,3630.0,17.7,77,1,21,64251.0
6,250.0,98.0,3525.0,19.0,77,1,11,66975.0
8,400.0,180.0,4220.0,11.1,77,1,22,46842.0
8,350.0,170.0,4165.0,11.4,77,1,6,47481.0
8,400.0,190.0,4325.0,12.2,77,1,7,52765.0
8,351.0,149.0,4335.0,14.5,77,1,11,62857.5
4,97.0,78.0,1940.0,14.5,77,2,28,28130.0
4,151.0,88.0,2740.0,16.0,77,1,22,43840.0
4,97.0,75.0,2265.0,18.2,77,3,26,41223.0
4,140.0,89.0,2755.0,15.8,77,1,11,43529.0
4,98.0,63.0,2051.0,17.0,77,1,6,34867.0
4,98.0,83.0,2075.0,15.9,77,1,9,32992.5
4,97.0,67.0,1985.0,16.4,77,3,25,32553.999999999996
4,97.0,78.0,2190.0,14.1,77,2,28,30879.0
6,146.0,97.0,2815.0,14.5,77,3,8,40817.5
4,121.0,110.0,2600.0,12.8,77,2,2,33280.0
3,80.0,110.0,2720.0,13.5,77,3,14,36720.0
4,90.0,48.0,1985.0,21.5,78,2,28,42677.5
4,98.0,66.0,1800.0,14.4,78,1,11,25920.0
4,78.0,52.0,1985.0,19.4,78,3,14,38509.0
4,85.0,70.0,2070.0,18.6,78,3,8,38502.0
4,91.0,60.0,1800.0,16.4,78,3,13,29519.999999999996
8,260.0,110.0,3365.0,15.5,78,1,18,52157.5
8,318.0,140.0,3735.0,13.2,78,1,9,49302.0
8,302.0,139.0,3570.0,12.8,78,1,16,45696.0
6,231.0,105.0,3535.0,19.2,78,1,22,67872.0
6,200.0,95.0,3155.0,18.2,78,1,6,57421.0
6,200.0,85.0,2965.0,15.8,78,1,11,46847.0
4,140.0,88.0,2720.0,15.4,78,1,11,41888.0
6,225.0,100.0,3430.0,17.2,78,1,21,58996.0
6,232.0,90.0,3210.0,17.2,78,1,0,55212.0
6,231.0,105.0,3380.0,15.8,78,1,3,53404.0
6,200.0,85.0,3070.0,16.7,78,1,16,51269.0
6,225.0,110.0,3620.0,18.7,78,1,9,67694.0
6,258.0,120.0,3410.0,15.1,78,1,0,51491.0
8,305.0,145.0,3425.0,13.2,78,1,6,45210.0
6,231.0,165.0,3445.0,13.4,78,1,3,46163.0
8,302.0,139.0,3205.0,11.2,78,1,11,35896.0
8,318.0,140.0,4080.0,13.7,78,1,9,55896.0
4,98.0,68.0,2155.0,16.5,78,1,6,35557.5
4,134.0,95.0,2560.0,14.2,78,3,26,36352.0
4,119.0,97.0,2300.0,14.7,78,3,8,33810.0
4,105.0,75.0,2230.0,14.5,78,1,9,32335.0
4,134.0,95.0,2515.0,14.8,78,3,26,37222.0
4,156.0,105.0,2745.0,16.7,78,1,21,45841.5
4,151.0,85.0,2855.0,17.6,78,1,18,50248.00000000001
4,119.0,97.0,2405.0,14.9,78,3,8,35834.5
5,131.0,103.0,2830.0,15.9,78,2,1,44997.0
6,163.0,125.0,3140.0,13.6,78,2,29,42704.0
4,121.0,115.0,2795.0,15.7,78,2,24,43881.5
6,163.0,133.0,3410.0,15.8,78,2,20,53878.0
4,89.0,71.0,1990.0,14.9,78,2,28,29651.0
4,98.0,68.0,2135.0,16.6,78,3,13,35441.0
6,231.0,115.0,3245.0,15.4,79,1,22,49973.0
6,200.0,85.0,2990.0,18.2,79,1,16,54418.0
4,140.0,88.0,2890.0,17.3,79,1,11,49997.0
6,232.0,90.0,3265.0,18.2,79,1,0,59423.0
6,225.0,110.0,3360.0,16.6,79,1,9,55776.00000000001
8,305.0,130.0,3840.0,15.4,79,1,6,59136.0
8,302.0,129.0,3725.0,13.4,79,1,11,49915.0
8,351.0,138.0,3955.0,13.2,79,1,16,52206.0
8,318.0,135.0,3830.0,15.2,79,1,9,58216.0
8,350.0,155.0,4360.0,14.9,79,1,3,64964.0
8,351.0,142.0,4054.0,14.3,79,1,11,57972.200000000004
8,267.0,125.0,3605.0,15.0,79,1,6,54075.0
8,360.0,150.0,3940.0,13.0,79,1,7,51220.0
4,89.0,71.0,1925.0,14.0,79,2,28,26950.0
4,86.0,65.0,1975.0,15.2,79,3,14,30020.0
4,98.0,80.0,1915.0,14.4,79,1,9,27576.0
4,121.0,80.0,2670.0,15.0,79,1,0,40050.0
5,183.0,77.0,3530.0,20.1,79,2,15,70953.0
8,350.0,125.0,3900.0,17.4,79,1,4,67860.0
4,141.0,71.0,3190.0,24.8,79,2,20,79112.0
8,260.0,90.0,3420.0,22.2,79,1,18,75924.0
4,105.0,70.0,2200.0,13.2,79,1,21,29040.0
4,105.0,70.0,2150.0,14.9,79,1,21,32035.0
4,85.0,65.0,2020.0,19.2,79,3,8,38784.0
4,91.0,69.0,2130.0,14.7,79,2,10,31311.0
4,151.0,90.0,2670.0,16.0,79,1,3,42720.0
6,173.0,115.0,2595.0,11.3,79,1,6,29323.500000000004
6,173.0,115.0,2700.0,12.9,79,1,18,34830.0
4,151.0,90.0,2556.0,13.2,79,1,22,33739.2
4,98.0,76.0,2144.0,14.7,80,2,28,31516.8
4,89.0,60.0,1968.0,18.8,80,3,26,36998.4
4,98.0,70.0,2120.0,15.5,80,1,6,32860.0
4,86.0,65.0,2019.0,16.4,80,3,8,33111.6
4,151.0,90.0,2678.0,16.5,80,1,6,44187.0
4,140.0,88.0,2870.0,18.1,80,1,11,51947.00000000001
4,151.0,90.0,3003.0,20.1,80,1,0,60360.3
6,225.0,90.0,3381.0,18.7,80,1,9,63224.7
4,97.0,78.0,2188.0,15.8,80,2,1,34570.4
4,134.0,90.0,2711.0,15.5,80,3,26,42020.5
4,120.0,75.0,2542.0,17.5,80,3,14,44485.0
4,119.0,92.0,2434.0,15.0,80,3,8,36510.0
4,108.0,75.0,2265.0,15.2,80,3,26,34428.0
4,86.0,65.0,2110.0,17.9,80,3,14,37769.0
4,156.0,105.0,2800.0,14.4,80,1,9,40320.0
4,85.0,65.0,2110.0,19.2,80,3,8,40512.0
4,90.0,48.0,2085.0,21.7,80,2,28,45244.5
4,90.0,48.0,2335.0,23.7,80,2,28,55339.5
5,121.0,67.0,2950.0,19.9,80,2,1,58704.99999999999
4,146.0,67.0,3250.0,21.8,80,2,15,70850.0
4,91.0,67.0,1850.0,13.8,80,3,13,25530.0
4,85.0,104.46938775510205,1835.0,17.3,80,2,23,31745.5
4,97.0,67.0,2145.0,18.0,80,3,25,38610.0
4,89.0,62.0,1845.0,15.3,80,2,28,28228.5
6,168.0,132.0,2910.0,11.4,80,3,8,33174.0
3,70.0,100.0,2420.0,12.5,80,3,14,30250.0
4,122.0,88.0,2500.0,15.1,80,2,27,37750.0
4,140.0,104.46938775510205,2905.0,14.3,80,1,11,41541.5
4,107.0,72.0,2290.0,17.0,80,3,13,38930.0
4,135.0,84.0,2490.0,15.7,81,1,21,39093.0
4,151.0,84.0,2635.0,16.4,81,1,3,43213.99999999999
4,156.0,92.0,2620.0,14.4,81,1,9,37728.0
6,173.0,110.0,2725.0,12.6,81,1,6,34335.0
4,135.0,84.0,2385.0,12.9,81,1,21,30766.5
4,79.0,58.0,1755.0,16.9,81,3,26,29659.499999999996
4,86.0,64.0,1875.0,16.4,81,1,21,30749.999999999996
4,81.0,60.0,1760.0,16.1,81,3,13,28336.000000000004
4,97.0,67.0,2065.0,17.8,81,3,25,36757.0
4,85.0,65.0,1975.0,19.4,81,3,8,38315.0
4,89.0,62.0,2050.0,17.3,81,3,26,35465.0
4,91.0,68.0,1985.0,16.0,81,3,14,31760.0
4,105.0,63.0,2215.0,14.9,81,1,21,33003.5
4,98.0,65.0,2045.0,16.2,81,1,11,33129.0
4,98.0,65.0,2380.0,20.7,81,1,11,49266.0
4,105.0,74.0,2190.0,14.2,81,2,28,31098.0
4,100.0,104.46938775510205,2320.0,15.8,81,2,23,36656.0
4,107.0,75.0,2210.0,14.4,81,3,13,31824.0
4,108.0,75.0,2350.0,16.8,81,3,26,39480.0
4,119.0,100.0,2615.0,14.8,81,3,8,38702.0
4,120.0,74.0,2635.0,18.3,81,3,14,48220.5
4,141.0,80.0,3230.0,20.4,81,2,20,65892.0
6,145.0,76.0,3160.0,19.6,81,2,29,61936.00000000001
6,168.0,116.0,2900.0,12.6,81,3,26,36540.0
6,146.0,120.0,2930.0,13.8,81,3,8,40434.0
6,231.0,110.0,3415.0,15.8,81,1,3,53957.0
8,350.0,105.0,3725.0,19.0,81,1,18,70775.0
6,200.0,88.0,3060.0,17.1,81,1,11,52326.00000000001
6,225.0,85.0,3465.0,16.6,81,1,7,57519.00000000001
4,112.0,88.0,2605.0,19.6,82,1,6,51058.00000000001
4,112.0,88.0,2640.0,18.6,82,1,6,49104.00000000001
4,112.0,88.0,2395.0,18.0,82,1,6,43110.0
4,112.0,85.0,2575.0,16.2,82,1,22,41715.0
4,135.0,84.0,2525.0,16.0,82,1,9,40400.0
4,151.0,90.0,2735.0,18.0,82,1,22,49230.0
4,140.0,92.0,2865.0,16.4,82,1,11,46985.99999999999
4,151.0,104.46938775510205,3035.0,20.5,82,1,0,62217.5
4,105.0,74.0,1980.0,15.3,82,2,28,30294.0
4,91.0,68.0,2025.0,18.2,82,3,14,36855.0
4,91.0,68.0,1970.0,17.6,82,3,14,34672.0
4,105.0,63.0,2125.0,14.7,82,1,21,31237.5
4,98.0,70.0,2125.0,17.3,82,1,16,36762.5
4,120.0,88.0,2160.0,14.5,82,3,17,31320.0
4,107.0,75.0,2205.0,14.5,82,3,13,31972.5
4,108.0,70.0,2245.0,16.9,82,3,26,37940.5
4,91.0,67.0,1965.0,15.0,82,3,13,29475.0
4,91.0,67.0,1965.0,15.7,82,3,13,30850.5
4,91.0,67.0,1995.0,16.2,82,3,8,32319.0
6,181.0,110.0,2945.0,16.4,82,1,3,48297.99999999999
6,262.0,85.0,3015.0,17.0,82,1,18,51255.0
4,156.0,92.0,2585.0,14.5,82,1,7,37482.5
6,232.0,112.0,2835.0,14.7,82,1,11,41674.5
4,144.0,96.0,2665.0,13.9,82,3,26,37043.5
4,135.0,84.0,2370.0,13.0,82,1,9,30810.0
4,151.0,90.0,2950.0,17.3,82,1,6,51035.0
4,140.0,86.0,2790.0,15.6,82,1,11,43524.0
4,97.0,52.0,2130.0,24.6,82,2,28,52398.0
4,135.0,84.0,2295.0,11.6,82,1,9,26622.0
4,120.0,79.0,2625.0,18.6,82,1,11,48825.00000000001
4,119.0,82.0,2720.0,19.4,82,1,6,52767.99999999999
